FREQ_ID,FREQ_NAME,REF_AREA_ID,REF_AREA_NAME,INDICATOR_ID,INDICATOR_NAME,SEX_ID,SEX_NAME,AGE_ID,AGE_NAME,URBANISATION_ID,URBANISATION_NAME,UNIT_MEASURE_ID,UNIT_MEASURE_NAME,DATABASE_ID_ID,DATABASE_ID_NAME,UNIT_MULT_NAME,OBS_STATUS_ID,OBS_STATUS_NAME,OBS_CONF_ID,OBS_CONF_NAME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A,Annual,ABW,Aruba,WB_HNP_SP_POP_TOTL,"Population, total",F,Female,Y0T14,under 15 years old,_T,Total,COUNT,Count,WB_HNP,Health Nutrition and Population Statistics,Units,A,Normal value,PU,Public,11675,11852,11975,12060,12108,12106,12055,11897,11648,11386,11112,10822,10565,10352,10146,9945,9686,9395,9156,8972,8854,8841,8853,8838,8816,8740,8596,8411,8251,8259,8586,9259,9728,9833,9913,9912,9883,9922,10021,10159,10261,10274,10225,10139,10029,9969,10003,10078,10167,10250,10217,10048,9874,9742,9651,9588,9530,9463,9375,9260,9055,8765,8467,8178
A,Annual,ABW,Aruba,WB_HNP_SP_POP_TOTL,"Population, total",F,Female,Y15T64,15 to 64 years old,_T,Total,COUNT,Count,WB_HNP,Health Nutrition and Population Statistics,Units,A,Normal value,PU,Public,15315,15699,15974,16246,16510,16773,17035,17256,17423,17552,17652,17730,17933,18332,18810,19293,19723,20083,20396,20670,20888,21019,21164,21374,21576,21753,21890,21972,22024,22138,22413,22908,23688,24716,25845,27022,28223,29382,30489,31549,32491,33196,33699,34136,34552,34947,35325,35688,36041,36389,36741,37128,37498,37780,37983,38121,38210,38263,38292,38300,38200,38054,37903,37696
A,Annual,ABW,Aruba,WB_HNP_SP_POP_TOTL,"Population, total",F,Female,Y_GE65,65 years old and over,_T,Total,COUNT,Count,WB_HNP,Health Nutrition and Population Statistics,Units,A,Normal value,PU,Public,783,829,871,912,952,995,1045,1100,1161,1228,1300,1376,1456,1545,1639,1734,1835,1938,2032,2107,2168,2262,2372,2447,2493,2515,2521,2521,2512,2494,2482,2491,2525,2587,2679,2790,2908,3032,3178,3342,3517,3709,3906,4099,4296,4498,4689,4870,5065,5280,5525,5803,6109,6432,6768,7119,7484,7865,8268,8694,9117,9512,9901,10350
A,Annual,ABW,Aruba,WB_HNP_SP_POP_TOTL,"Population, total",F,Female,_T,All age ranges or no breakdown by age,_T,Total,COUNT,Count,WB_HNP,Health Nutrition and Population Statistics,Units,A,Normal value,PU,Public,27773,28380,28820,29218,29570,29875,30135,30253,30232,30166,30063,29927,29953,30229,30595,30972,31245,31416,31584,31749,31909,32121,32389,32659,32886,33008,33007,32904,32788,32892,33480,34657,35941,37137,38437,39724,41014,42336,43688,45050,46269,47178,47831,48374,48877,49414,50016,50636,51272,51919,52484,52980,53480,53953,54403,54828,55224,55591,55935,56254,56373,56330,56272,56225
A,Annual,ABW,Aruba,WB_HNP_SP_POP_TOTL,"Population, total",M,Male,Y0T14,under 15 years old,_T,Total,COUNT,Count,WB_HNP,Health Nutrition and Population Statistics,Units,A,Normal value,PU,Public,11878,12118,12315,12459,12536,12544,12495,12343,12110,11867,11602,11305,11030,10792,10547,10303,10009,9694,9451,9273,9156,9127,9124,9108,9089,9015,8872,8687,8528,8539,8867,9537,9998,10083,10144,10127,10089,10116,10207,10349,10461,10476,10429,10350,10240,10210,10304,10425,10540,10635,10602,10437,10280,10164,10079,10012,9947,9869,9772,9651,9438,9133,8820,8520
A,Annual,ABW,Aruba,WB_HNP_SP_POP_TOTL,"Population, total",M,Male,Y15T64,15 to 64 years old,_T,Total,COUNT,Count,WB_HNP,Health Nutrition and Population Statistics,Units,A,Normal value,PU,Public,14443,14767,14967,15177,15414,15663,15917,16127,16265,16359,16432,16495,16703,17101,17563,18040,18463,18811,19100,19335,19509,19617,19795,20065,20322,20566,20781,20946,21068,21197,21407,21736,22314,23148,24064,25052,26082,27070,28019,28927,29724,30262,30612,30938,31242,31528,31809,32099,32402,32713,33139,33564,33837,34026,34139,34184,34183,34153,34102,34041,33970,34026,34072,33968
A,Annual,ABW,Aruba,WB_HNP_SP_POP_TOTL,"Population, total",M,Male,Y_GE65,65 years old and over,_T,Total,COUNT,Count,WB_HNP,Health Nutrition and Population Statistics,Units,A,Normal value,PU,Public,513,545,581,619,658,698,743,798,864,936,1010,1091,1169,1244,1323,1401,1476,1544,1602,1650,1693,1748,1807,1850,1877,1890,1895,1915,1949,1966,1957,1933,1939,1992,2065,2145,2232,2336,2442,2540,2648,2776,2909,3040,3181,3330,3477,3627,3782,3944,4117,4306,4514,4736,4973,5234,5520,5825,6152,6496,6803,7048,7281,7564
A,Annual,ABW,Aruba,WB_HNP_SP_POP_TOTL,"Population, total",M,Male,_T,All age ranges or no breakdown by age,_T,Total,COUNT,Count,WB_HNP,Health Nutrition and Population Statistics,Units,A,Normal value,PU,Public,26834,27431,27863,28256,28608,28906,29155,29268,29239,29163,29044,28890,28902,29137,29433,29744,29947,30049,30154,30257,30358,30492,30727,31024,31288,31471,31547,31547,31544,31703,32231,33207,34251,35223,36273,37325,38403,39522,40667,41816,42833,43513,43950,44327,44663,45069,45591,46151,46724,47292,47858,48307,48632,48927,49191,49430,49650,49847,50026,50188,50211,50207,50173,50052
A,Annual,ABW,Aruba,WB_HNP_SP_POP_TOTL,"Population, total",_T,Total,Y0T14,under 15 years old,_T,Total,COUNT,Count,WB_HNP,Health Nutrition and Population Statistics,Units,A,Normal value,PU,Public,23553,23970,24290,24520,24644,24651,24550,24241,23758,23254,22713,22126,21594,21143,20693,20248,19695,19089,18607,18245,18010,17968,17978,17946,17905,17754,17468,17097,16779,16799,17453,18796,19726,19917,20057,20040,19972,20038,20227,20508,20721,20750,20654,20489,20269,20180,20307,20503,20707,20885,20819,20486,20154,19906,19730,19600,19477,19332,19147,18912,18494,17898,17287,16698
A,Annual,ABW,Aruba,WB_HNP_SP_POP_TOTL,"Population, total",_T,Total,Y15T64,15 to 64 years old,_T,Total,COUNT,Count,WB_HNP,Health Nutrition and Population Statistics,Units,A,Normal value,PU,Public,29759,30466,30940,31424,31924,32437,32952,33384,33688,33912,34083,34224,34636,35432,36373,37332,38187,38894,39496,40005,40396,40636,40959,41440,41898,42319,42671,42917,43092,43336,43821,44644,46002,47864,49909,52075,54305,56452,58508,60477,62215,63457,64311,65073,65794,66476,67133,67787,68443,69102,69879,70693,71335,71805,72123,72305,72392,72417,72394,72341,72171,72080,71975,71665
A,Annual,ABW,Aruba,WB_HNP_SP_POP_TOTL,"Population, total",_T,Total,Y_GE65,65 years old and over,_T,Total,COUNT,Count,WB_HNP,Health Nutrition and Population Statistics,Units,A,Normal value,PU,Public,1296,1374,1452,1531,1610,1694,1789,1898,2025,2164,2310,2466,2624,2789,2962,3134,3311,3482,3634,3756,3861,4010,4179,4297,4371,4405,4415,4436,4461,4461,4439,4424,4464,4580,4744,4936,5140,5368,5620,5883,6165,6484,6816,7139,7477,7828,8166,8498,8846,9225,9642,10109,10623,11169,11741,12352,13005,13690,14421,15189,15921,16560,17182,17914
A,Annual,ABW,Aruba,WB_HNP_SP_POP_TOTL,"Population, total",_T,Total,_T,All age ranges or no breakdown by age,RUR,Rural area,COUNT,Count,WB_HNP,Health Nutrition and Population Statistics,Units,A,Normal value,PU,Public,26880,27481,27918,28318,28673,28980,29239,29362,29347,29286,29184,29050,29078,29339,29676,30025,30271,30415,30559,30701,30840,31021,31280,31570,31823,31984,32031,31990,31941,32082,32646,33726,35097,36478,37970,39475,41014,42610,44256,45929,47476,48666,49587,50424,51223,52084,53051,54058,55090,56133,57135,57795,58248,58652,59006,59314,59577,59791,59963,60091,60011,59803,59554,59245
A,Annual,ABW,Aruba,WB_HNP_SP_POP_TOTL,"Population, total",_T,Total,_T,All age ranges or no breakdown by age,URB,Urban area,COUNT,Count,WB_HNP,Health Nutrition and Population Statistics,Units,A,Normal value,PU,Public,27728,28330,28764,29157,29505,29802,30052,30160,30124,30044,29922,29766,29777,30026,30352,30690,30922,31050,31179,31305,31427,31593,31836,32113,32351,32494,32522,32460,32391,32514,33066,34138,35095,35882,36740,37575,38403,39248,40099,40938,41625,42025,42194,42277,42317,42399,42555,42729,42906,43079,43206,43493,43864,44228,44588,44943,45297,45648,45999,46351,46574,46734,46891,47032
A,Annual,ABW,Aruba,WB_HNP_SP_POP_TOTL,"Population, total",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,COUNT,Count,WB_HNP,Health Nutrition and Population Statistics,Units,A,Normal value,PU,Public,54608,55811,56682,57475,58178,58782,59291,59522,59471,59330,59106,58816,58855,59365,60028,60715,61193,61465,61738,62006,62267,62614,63116,63683,64174,64478,64553,64450,64332,64596,65712,67864,70192,72360,74710,77050,79417,81858,84355,86867,89101,90691,91781,92701,93540,94483,95606,96787,97996,99212,100341,101288,102112,102880,103594,104257,104874,105439,105962,106442,106585,106537,106445,106277
A,Annual,AFE,Africa Eastern and Southern,WB_HNP_SP_POP_TOTL,"Population, total",F,Female,Y0T14,under 15 years old,_T,Total,COUNT,Count,WB_HNP,Health Nutrition and Population Statistics,Units,A,Normal value,PU,Public,28765531,29577569,30447286,31361859,32322992,33324518,34348687,35404985,36507830,37652800,38855516,40101366,41359100,42636965,43938870,45264941,46642994,48007529,49434267,50962082,52393761,53921603,55621350,57276563,58899311,60563555,62321673,64220068,66152803,68090099,70100974,72078913,74021016,76055432,77906927,79752557,81888069,83931791,85793275,87645983,89534869,91442189,93409474,95453666,97593748,99847759,102221204,104719417,107334253,110019190,112730998,115435803,118200295,121062307,123937797,126827523,129723054,132598014,135478622,138369074,141247235,144073803,146845798,149554090
A,Annual,AFE,Africa Eastern and Southern,WB_HNP_SP_POP_TOTL,"Population, total",F,Female,Y15T64,15 to 64 years old,_T,Total,COUNT,Count,WB_HNP,Health Nutrition and Population Statistics,Units,A,Normal value,PU,Public,34944177,35840582,36774596,37729285,38725896,39760493,40809598,41891392,43020661,44186076,45382685,46592668,47799388,49078141,50469915,51912568,53386411,54871718,56515634,58288050,59974328,61799959,63862256,66014559,68286619,70712007,73074493,75288656,77445325,79614552,81882094,84116256,86337949,88705633,91298989,94024577,96702038,99305176,102016374,104947531,107969495,111088939,114313272,117613244,121009604,124483710,128066536,131785975,135614756,139539500,143601437,147770902,152057409,156535442,161167259,166007970,170906170,175860953,181060404,186486911,192139476,197918512,203799363,209861233
A,Annual,AFE,Africa Eastern and Southern,WB_HNP_SP_POP_TOTL,"Population, total",F,Female,Y_GE65,65 years old and over,_T,Total,COUNT,Count,WB_HNP,Health Nutrition and Population Statistics,Units,A,Normal value,PU,Public,2143516,2188138,2235230,2284501,2337275,2393382,2451790,2514569,2582792,2654726,2730510,2810763,2892931,2979072,3069881,3162380,3259600,3358338,3466079,3583889,3692489,3804200,3926447,4042190,4158640,4287648,4419846,4558167,4690207,4817712,4959151,5102905,5250562,5406860,5556834,5709238,5878418,6043036,6199420,6366162,6544253,6726542,6912917,7100908,7295091,7498794,7710129,7929917,8156619,8397777,8668531,8968009,9288875,9627177,9984075,10360405,10758179,11178403,11620087,12074988,12503161,12862901,13189363,13569877
A,Annual,AFE,Africa Eastern and Southern,WB_HNP_SP_POP_TOTL,"Population, total",F,Female,_T,All age ranges or no breakdown by age,_T,Total,COUNT,Count,WB_HNP,Health Nutrition and Population Statistics,Units,A,Normal value,PU,Public,65853220,67606287,69457112,71375643,73386167,75478396,77610073,79810945,82111287,84493601,86968714,89504801,92051419,94694181,97478670,100339888,103289004,106237590,109415983,112834021,116060576,119525759,123410049,127333314,131344567,135563206,139816011,144066893,148288335,152522362,156942214,161298074,165609524,170167926,174762745,179486372,184468529,189280003,194009070,198959676,204048614,209257664,214635664,220167814,225898442,231830259,237997868,244435307,251105628,257956460,265000967,272174714,279546577,287224924,295089133,303195897,311387401,319637365,328159112,336930970,345889868,354855221,363834524,372985196
A,Annual,AFE,Africa Eastern and Southern,WB_HNP_SP_POP_TOTL,"Population, total",M,Male,Y0T14,under 15 years old,_T,Total,COUNT,Count,WB_HNP,Health Nutrition and Population Statistics,Units,A,Normal value,PU,Public,29000609,29840049,30726896,31656794,32631560,33653526,34707700,35794075,36922664,38087316,39293716,40535803,41795779,43080368,44404103,45761644,47167649,48557329,49999676,51555018,53098922,54721855,56434395,58083308,59700608,61401204,63216358,65153083,67089487,69038152,71085952,73116186,75085284,77135711,79039458,80893959,82967954,84978312,86841320,88688889,90586106,92500831,94475950,96541339,98711107,101001079,103421550,105974204,108644367,111373514,114143002,116932506,119789688,122754714,125732575,128741030,131768945,134770642,137762300,140752615,143746786,146696711,149591861,152423111
