REF_AREA_ID,FINAL_REF_AREA_NAME,CATEGORY,SEX_ID,SEX_NAME,AGE_ID,AGE_NAME,URBANISATION_ID,URBANISATION_NAME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,GROWTH_RATE_10YR,GROWTH_RATE_10YR2
AFG,Afghanistan,Female 15 Years Old Below,F,Female,Y0T14,under 15 years old,_T,Total,1785055,1821975,1860384,1901418,1947344,2001409,2061047,2122863,2187211,2253697,2322793,2392787,2464609,2540450,2617844,2693721,2765141,2835456,2903806,2926632,2825526,2533972,2299937,2275643,2349485,2418669,2410715,2387348,2406727,2479055,2490400,2510102,2826319,3294019,3650923,3897305,4081383,4266144,4457199,4663513,4748278,4795532,5120594,5521344,5736225,5906886,6107281,6274047,6424057,6579728,6723578,6875520,7038648,7200820,7369155,7532118,7684978,7840826,7999492,8161339,8332095,8500719,8662674,8840915,22.78%,2.06%
AFG,Afghanistan,Female 15 to 64 years old,F,Female,Y15T64,15 to 64 years old,_T,Total,2248630,2297244,2349582,2403744,2457498,2508498,2557792,2609056,2662856,2718610,2777229,2836888,2898405,2964227,3031186,3096102,3155897,3213962,3270596,3278677,3150649,2813677,2546387,2516199,2598796,2679666,2671512,2642480,2658113,2728782,2728925,2734246,3058461,3537687,3884337,4102837,4247630,4388466,4533980,4695224,4739128,4755201,5057897,5445306,5661555,5898049,6189678,6235720,6328667,6626810,6860488,7210142,7625427,7972111,8363003,8695137,8963378,9291731,9638249,10000360,10412972,10794564,11136302,11498794,44.24%,3.26%
AFG,Afghanistan,Female 65 years old and over,F,Female,Y_GE65,65 years old and over,_T,Total,112259,114552,116914,119349,121849,124434,127142,129999,133018,136199,139546,143072,146767,150627,154573,158445,162129,165561,168436,168238,160681,142511,127644,124510,126319,127344,125045,122823,123220,126772,127085,127860,144159,168413,186836,199303,208408,217349,226413,236299,240135,242433,259565,280996,293046,304151,317538,325573,335468,350793,365229,383213,403298,421706,440162,454799,466990,482165,499182,517390,534863,549301,563354,580450,37.64%,3.03%
AFG,Afghanistan,Total Female,F_T,Female,_T,All age ranges or no breakdown by age,_T,Total,4145945,4233771,4326881,4424511,4526691,4634341,4745981,4861918,4983086,5108507,5239568,5372747,5509781,5655304,5803603,5948268,6083166,6214979,6342838,6373547,6136856,5490160,4973968,4916351,5074600,5225679,5207273,5152650,5188060,5334609,5346409,5372208,6028939,7000119,7722096,8199445,8537421,8871958,9217591,9595036,9727541,9793166,10438055,11247647,11690825,12109086,12614497,12835340,13088192,13557331,13949295,14468875,15067373,15594637,16172321,16682054,17115346,17614722,18136922,18679089,19279930,19844584,20362329,20920159,34.15%,2.74%
AFG,Afghanistan,Male 15 Years Old Below,M,Male,Y0T14,under 15 years old,_T,Total,1804235,1843100,1885912,1934221,1987528,2046000,2108544,2173321,2240688,2310296,2382629,2455858,2530965,2610297,2691376,2771012,2846081,2920100,2992258,3017524,2914935,2615829,2375980,2352492,2430320,2503414,2497014,2474639,2496483,2573329,2586901,2609202,2939728,3428000,3801453,4060288,4254773,4450669,4654178,4874579,4968153,5022391,5367695,5792486,6022188,6204843,6418452,6598700,6760595,6926571,7080622,7241399,7412361,7581794,7756052,7924320,8081758,8240991,8402599,8567283,8740826,8912289,9076426,9256800,22.09%,1.99%
AFG,Afghanistan,Male 15 to 64 years old,M,Male,Y15T64,15 to 64 years old,_T,Total,2540269,2580143,2622120,2663599,2705032,2747227,2789513,2833897,2881155,2930853,2983967,3038451,3095190,3156767,3219665,3280477,3336007,3389882,3439579,3432361,3280290,2913063,2617324,2565475,2621069,2665856,2630179,2584447,2588283,2651905,2648305,2650263,2961160,3426859,3767371,3984164,4132045,4276806,4425046,4589307,4640905,4665654,4973410,5366533,5592642,5840098,6141740,6197579,6301399,6612672,6861560,7227756,7661288,8028459,8439813,8789878,9075174,9414493,9763360,10127343,10544398,10927876,11268607,11631642,44.88%,3.22%
AFG,Afghanistan,Male 65 years old and over,M,Male,Y_GE65,65 years old and over,_T,Total,132017,133126,134135,135134,136263,137579,139109,140893,142852,144834,146808,148801,150816,152937,155234,157629,160015,162341,164187,162937,154550,136143,121015,117131,117698,117272,113975,111022,110633,113325,113182,113494,127606,148782,164634,175015,182357,189388,196318,203924,206385,207422,221096,238463,247897,257162,268256,271683,277012,288735,298195,311127,325455,336319,348024,357248,363928,373212,383903,395783,407078,414713,421409,431253,28.23%,2.34%
AFG,Afghanistan,Total Male,M_T,Male,_T,All age ranges or no breakdown by age,_T,Total,4476521,4556369,4642166,4732954,4828823,4930806,5037166,5148111,5264694,5385983,5513404,5643110,5776971,5920001,6066275,6209118,6342102,6472323,6596024,6612822,6349775,5665035,5114320,5035098,5169086,5286542,5241168,5170108,5195399,5338559,5348387,5372959,6028494,7003641,7733458,8219467,8569175,8916862,9275541,9667811,9815442,9895467,10562202,11397483,11862726,12302104,12828447,13067961,13339006,13827977,14240377,14780282,15399105,15946572,16543889,17071446,17520861,18028696,18549862,19090409,19692301,20254878,20766442,21319695,33.69%,2.66%
AFG,Afghanistan,Total 15 Years Old Below,_T,Total,Y0T14,under 15 years old,_T,Total,3589290,3665076,3746296,3835639,3934872,4047409,4169591,4296185,4427899,4563993,4705422,4848645,4995574,5150747,5309220,5464733,5611221,5755555,5896064,5944156,5740461,5149800,4675918,4628135,4779805,4922083,4907729,4861986,4903210,5052384,5077301,5119303,5766047,6722019,7452377,7957593,8336155,8716812,9111376,9538092,9716430,9817923,10488288,11313831,11758412,12111730,12525733,12872747,13184652,13506299,13804200,14116918,14451010,14782614,15125207,15456438,15766736,16081817,16402090,16728622,17072920,17413008,17739100,18097715,22.43%,2.02%
AFG,Afghanistan,Total 15 to 64 years old,_T,Total,Y15T64,15 to 64 years old,_T,Total,4788899,4877387,4971702,5067343,5162530,5255725,5347305,5442953,5544011,5649463,5761195,5875339,5993595,6120994,6250852,6376579,6491903,6603844,6710175,6711038,6430939,5726741,5163712,5081674,5219865,5345522,5301692,5226926,5246397,5380687,5377229,5384510,6019621,6964546,7651708,8087000,8379675,8665271,8959026,9284531,9380032,9420854,10031307,10811839,11254197,11738147,12331417,12433299,12630067,13239481,13722048,14437898,15286716,16000570,16802817,17485014,18038552,18706224,19401609,20127704,20957369,21722439,22404909,23130436,44.56%,3.24%
